eeschema (2013-may-18)-stable  >> Creation date: Út 5. listopad 2013, 21:33:32 CET
#Cmp ( order = Reference )
| 10uF         C6        ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 10uF         C13       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 10uF         C27       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 22uF         C16       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| LED_BLUE_F4  D6        ; Led_0603    ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RED_F4   D7        ; Led_0603    ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RED      D2        ; led_2.1x0.6 ;             ;             ;             ;             ;             ;             ;             ;             
| LED_ORANGE   D3        ; led_2.1x0.6 ;             ;             ;             ;             ;             ;             ;             ;             
| LED_BLUE     D4        ; led_2.1x0.6 ;             ;             ;             ;             ;             ;             ;             ;             
| LED_GREEN    D5        ; led_2.1x0.6 ;             ;             ;             ;             ;             ;             ;             ;             
| CD0603-S01575 D8        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 10uH         L1        ; r_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P19       ; 1pin        ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P20       ; 1pin        ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P21       ; 1pin        ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P22       ; 1pin        ;             ;             ;             ;             ;             ;             ;             ;             
| MICROUSB     P4        ; conn_usb_B_micro_smd-FCI;             ;             ;             ;             ;             ;             ;             ;             
| MICROSD      P10       ; MICRO-SD-SOCKET-PP;             ;             ;             ;             ;             ;             ;             ;             
| CONN_2       P12       ; picoblade_2-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P2        ; picoblade_4-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P3        ; picoblade_4-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P5        ; picoblade_4-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P7        ; picoblade_4-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P8        ; picoblade_4-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P9        ; picoblade_4-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P6        ; picoblade_6-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P13       ; picoblade_6-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_9       P11       ; picoblade_9-90;             ;             ;             ;             ;             ;             ;             ;             
| CONN_13X3    P1        ; pin_strip_13x3-90;             ;             ;             ;             ;             ;             ;             ;             
